season,week,n_active,n_eliminated,eliminated_names,feasible,n_samples,margin_mean,margin_p05,margin_p50,predicted_eliminated_names,actual_eliminated_names,match
18,6,8,1,Drew Carey,True,2000,0.0247384112134089,0.0021163726881499,0.0212419817944442,Drew Carey,Drew Carey,True
18,7,7,1,NeNe Leakes,True,2000,0.0292259340062722,0.0025241325431554,0.0237271462735925,NeNe Leakes,NeNe Leakes,True
18,8,6,1,Danica McKellar,True,2000,0.0355860111230967,0.0022019482054374,0.0282330738246983,Danica McKellar,Danica McKellar,True
18,9,5,1,Charlie White,True,2000,0.0542867350608299,0.0040687352139904,0.042891577404971,Charlie White,Charlie White,True
18,10,4,0,,True,2000,,,,,,NA
19,1,13,1,Lolo Jones,True,2000,0.0136008199680333,0.0010752574153305,0.0118838718636393,Lolo Jones,Lolo Jones,True
19,2,12,1,Tavis Smiley,True,2000,0.0105552483123454,0.0009057777263426,0.008903118656639,Tavis Smiley,Tavis Smiley,True
19,3,11,1,Randy Couture,True,2000,0.0153721813097403,0.0011794716896388,0.0128239179298429,Randy Couture,Randy Couture,True
19,4,10,1,Betsey Johnson,True,2000,0.0159016636084081,0.0010544042170754,0.0130274067967978,Betsey Johnson,Betsey Johnson,True
19,5,9,0,,True,2000,,,,,,NA
19,6,9,1,Jonathan Bennett,True,2000,0.0167195371967298,0.0009589751972356,0.012783796298806,Jonathan Bennett,Jonathan Bennett,True
19,7,8,1,Antonio Sabato Jr.,True,2000,0.023808985685699,0.0019160400241111,0.0199650762742479,Antonio Sabato Jr.,Antonio Sabato Jr.,True
19,8,7,1,Michael Waltrip,True,2000,0.0438474177647015,0.0040004596074325,0.0398807450041623,Michael Waltrip,Michael Waltrip,True
19,9,6,1,Lea Thompson,True,2000,0.0354088163330079,0.0023156653294168,0.0266798965325744,Lea Thompson,Lea Thompson,True
19,10,5,1,Tommy Chong,True,2000,0.0621938784889948,0.004707705689474,0.0521782026432288,Tommy Chong,Tommy Chong,True
19,11,4,0,,True,2000,,,,,,NA
20,1,12,0,,True,2000,,,,,,NA
20,2,12,1,Redfoo,True,2000,0.0087665214216847,0.0006111905312362,0.0068368563451699,Redfoo,Redfoo,True
20,3,11,1,Charlotte McKinney,True,2000,0.0187858994373624,0.0018129513591147,0.0176396463228086,Charlotte McKinney,Charlotte McKinney,True
20,4,10,1,Michael Sam,True,2000,0.013819294126371,0.0009528310338591,0.0114471449166902,Michael Sam,Michael Sam,True
20,5,9,1,Suzanne Somers,True,2000,0.0190491050045594,0.0014304533951252,0.01590552934143,Suzanne Somers,Suzanne Somers,True
20,6,8,1,Patti LaBelle,True,2000,0.0210744975972509,0.0015884174443953,0.0162823781718173,Patti LaBelle,Patti LaBelle,True
20,7,7,1,Willow Shields,True,2000,0.0219984952775134,0.0011212855501808,0.0160038164414073,Willow Shields,Willow Shields,True
20,8,6,2,Robert Herjavec;Chris Soules,True,2000,0.0470653845376559,0.0041010414691218,0.0391582405427124,Robert Herjavec;Chris Soules,Robert Herjavec;Chris Soules,True
20,9,4,1,Nastia Liukin,True,2000,0.0801547090831008,0.0055009207744002,0.0658240031062312,Nastia Liukin,Nastia Liukin,True
20,10,3,0,,True,2000,,,,,,NA
21,1,13,0,,True,2000,,,,,,NA
21,2,13,3,Victor Espinoza;Chaka Khan;Kim Zolciak-Biermann,True,2000,0.0105845316972324,0.0008806015488006,0.0082381089100443,Chaka Khan;Kim Zolciak-Biermann;Victor Espinoza,Victor Espinoza;Chaka Khan;Kim Zolciak-Biermann,True
21,3,10,0,,True,2000,,,,,,NA
21,4,10,1,Gary Busey,True,2000,0.0230264701420413,0.0019264375351595,0.0211582836299298,Gary Busey,Gary Busey,True
21,5,9,0,,True,2000,,,,,,NA
